sku,platform,days_tracked,days_oos,longest_oos_streak,max_discount,avg_discount
ABFP30,amazon,1,0,0,,
ABFP30,flipkart,1,0,0,,
ABFP30,myntra,1,0,0,,
ABFP30,nykaa,1,0,0,,
ABFP30,shopify,1,0,0,0.0,0.0
ABFP30,smytten,1,0,0,,
APOS8,amazon,1,0,0,52.0,52.0
APOS8,flipkart,1,0,0,,
APOS8,myntra,1,0,0,,
APOS8,nykaa,1,0,0,,
APOS8,shopify,1,0,0,0.0,0.0
APOS8,smytten,1,0,0,,
ARISSS50,amazon,1,0,0,50.0,50.0
ARISSS50,flipkart,1,0,0,,
ARISSS50,myntra,1,0,0,,
ARISSS50,shopify,1,0,0,0.0,0.0
ARISSS50,smytten,1,0,0,,
ARO100,amazon,1,0,0,100.0,100.0
ARO100,flipkart,1,0,0,,
ARO100,myntra,1,0,0,,
ARO100,nykaa,1,0,0,,
ARO100,shopify,1,0,0,0.0,0.0
ARO100,smytten,1,0,0,,
ARSM50,amazon,1,0,0,20.0,20.0
ARSM50,flipkart,1,0,0,,
ARSM50,myntra,1,0,0,,
ARSM50,nykaa,1,0,0,,
ARSM50,shopify,1,0,0,0.0,0.0
AVG200,amazon,1,0,0,,
AVG200,flipkart,1,0,0,,
AVG200,myntra,1,0,0,,
AVG200,nykaa,1,0,0,,
AVG200,shopify,1,0,0,0.0,0.0
AVG200,smytten,1,0,0,,
CCBL200,amazon,1,0,0,,
CCBL200,flipkart,1,0,0,,
CCBL200,myntra,1,0,0,,
CCBL200,shopify,1,0,0,0.0,0.0
CCBL200,smytten,1,0,0,,
CCBS200,amazon,1,0,0,,
CCBS200,myntra,1,0,0,,
CCBS200,shopify,1,0,0,0.0,0.0
CCBW200,amazon,1,0,0,,
CCBW200,flipkart,1,0,0,,
CCBW200,myntra,1,0,0,,
CCBW200,shopify,1,0,0,0.0,0.0
CCBW200,smytten,1,0,0,,
CCGK,amazon,1,1,1,42.8,42.8
CCGK,myntra,1,0,0,,
CCGK,nykaa,1,0,0,,
CCGK,shopify,1,0,0,0.0,0.0
CCGK,smytten,1,0,0,,
CCHC30,amazon,1,0,0,70.0,70.0
CCHC30,myntra,1,0,0,,
CCHC30,nykaa,1,0,0,,
CCHC30,shopify,1,0,0,0.0,0.0
CCHC30,smytten,1,0,0,,
CDM125,amazon,1,0,0,,
CDM125,myntra,1,0,0,,
CDM125,nykaa,1,0,0,,
CDM125,shopify,1,0,0,0.0,0.0
CDM125,smytten,1,0,0,,
CDSH300,amazon,1,0,0,,
CDSH300,myntra,1,0,0,,
CDSH300,shopify,1,0,0,0.0,0.0
CFSH200,amazon,1,0,0,,
CFSH200,flipkart,1,0,0,,
CFSH200,myntra,1,0,0,,
CFSH200,nykaa,1,0,0,,
CFSH200,shopify,1,0,0,0.0,0.0
CFSH200,smytten,1,0,0,,
FWAR100,amazon,1,0,0,0.0,0.0
FWAR100,flipkart,1,0,0,,
FWAR100,myntra,1,0,0,,
FWAR100,nykaa,1,0,0,,
FWAR100,shopify,1,0,0,0.0,0.0
FWOA100,amazon,1,0,0,0.0,0.0
FWOA100,flipkart,1,0,0,,
FWOA100,myntra,1,0,0,,
FWOA100,nykaa,1,0,0,,
FWOA100,shopify,1,0,0,0.0,0.0
FWSB100,amazon,1,0,0,0.0,0.0
FWSB100,flipkart,1,0,0,,
FWSB100,myntra,1,0,0,,
FWSB100,nykaa,1,0,0,,
FWSB100,shopify,1,0,0,0.0,0.0
HAFS30,amazon,1,0,0,,
HAFS30,flipkart,1,0,0,,
HAFS30,myntra,1,0,0,,
HAFS30,nykaa,1,0,0,,
HAFS30,shopify,1,0,0,0.0,0.0
HAFS30,smytten,1,0,0,,
HSC70,amazon,1,0,0,,
HSC70,myntra,1,0,0,,
HSC70,nykaa,1,0,0,,
HSC70,shopify,1,0,0,0.0,0.0
LCBL200,amazon,1,0,0,,
LCBL200,flipkart,1,0,0,,
LCBL200,myntra,1,0,0,,
LCBL200,nykaa,1,0,0,,
LCBL200,shopify,1,0,0,0.0,0.0
LCBL200,smytten,1,0,0,,
LCBW200,amazon,1,0,0,,
LCBW200,flipkart,1,0,0,,
LCBW200,myntra,1,0,0,,
LCBW200,nykaa,1,0,0,,
LCBW200,shopify,1,0,0,0.0,0.0
LCBW200,smytten,1,0,0,,
LLGK,amazon,1,0,0,0.0,0.0
LLGK,flipkart,1,0,0,,
LLGK,myntra,1,0,0,,
LLGK,nykaa,1,0,0,,
LLGK,shopify,1,0,0,0.0,0.0
LLGK,smytten,1,0,0,,
LLSH200,amazon,1,0,0,,
LLSH200,flipkart,1,0,0,,
LLSH200,myntra,1,0,0,,
LLSH200,nykaa,1,0,0,,
LLSH200,shopify,1,0,0,0.0,0.0
LLSH200,smytten,1,0,0,,
LLSS30,amazon,1,0,0,70.0,70.0
LLSS30,flipkart,1,0,0,,
LLSS30,myntra,1,0,0,,
LLSS30,nykaa,1,0,0,,
LLSS30,shopify,1,0,0,0.0,0.0
LLSS30,smytten,1,0,0,,
MAR50,amazon,1,0,0,50.0,50.0
MAR50,flipkart,1,0,0,,
MAR50,myntra,1,0,0,,
MAR50,nykaa,1,0,0,,
MAR50,shopify,1,0,0,0.0,0.0
MCBL200,amazon,1,0,0,,
MCBL200,flipkart,1,0,0,,
MCBL200,myntra,1,0,0,,
MCBL200,shopify,1,0,0,0.0,0.0
MCBL200,smytten,1,0,0,,
MCBW200,amazon,1,0,0,,
MCBW200,flipkart,1,0,0,,
MCBW200,myntra,1,0,0,,
MCBW200,nykaa,1,0,0,,
MCBW200,shopify,1,0,0,0.0,0.0
MCBW200,smytten,1,0,0,,
MDC125,amazon,1,0,0,,
MDC125,flipkart,1,0,0,,
MDC125,myntra,1,0,0,,
MDC125,nykaa,1,0,0,,
MDC125,shopify,1,0,0,0.0,0.0
MFGK,amazon,1,0,0,100.0,100.0
MFGK,flipkart,1,0,0,,
MFGK,myntra,1,0,0,,
MFGK,nykaa,1,0,0,,
MFGK,shopify,1,0,0,0.0,0.0
MFGK,smytten,1,0,0,,
MHFC125,amazon,1,0,0,,
MHFC125,flipkart,1,0,0,,
MHFC125,myntra,1,0,0,,
MHFC125,nykaa,1,0,0,,
MHFC125,shopify,1,0,0,0.0,0.0
MHM125,amazon,1,0,0,,
MHM125,flipkart,1,0,0,,
MHM125,myntra,1,0,0,,
MHM125,nykaa,1,0,0,,
